-ish	IS
ornament	o:n@m@nt
orphan	o:f@n
orthodontist	o:T@dOnt@st
orthodox	o:T@dOks
orthopaedic surgeon	o:T@pi:dIks3:dZ@n
osteopath	Osti:@p{T
other	6D@
otherwise	6D@wAez
ought	o:t
our	{O@
ours	{O@z
ourselves	{O@selvz
out	{Ot
outback	{Otb{k
outbreak	{Otbr\{Ik
outburst	{Otb3:st
outcome	{Otk6m
outcry	{Otkr\Ae
outdoors	{Otdo:z
outer	{Ot@
outfit	{OtfIt
outgoing	{Otg@}IN
outing	{OtIN
outline	{OtlAen
outlook	{OtlUk
outpatient	{Otp{IS@nt
outrage	{Otr\{IdZ
outright	{Otr\Aet
outset	{Otset
outside	{OtsAed
outskirts	{Otsk3:ts
outspoken	{Otsp@}k@n
outstanding	{Otst{ndIN
outward	{Otw@d
outwards	{Otw@dz
outwit	{OtwIt
oval	@}v@l
ovary	@}v@r\i:
oven	6v@n
over	@}v@
overalls	@}v@r\o:lz
overarm	@}v@r\6:m
overawe	@}v@r\o:
overbalance	@}v@b{l@ns
overbearing	@}v@be:r\IN
overboard	@}v@bo:d
overcast	@}v@k6:st
overcoat	@}v@k@}t
overcome	@}v@k6m
overdo	@}v@d}:
overdose	@}v@d@}s
overdraft	@}v@dr\6:ft
overdue	@}v@dj}:
overflow	@}v@fl@}
overhaul	@}v@ho:l
overhead	@}v@hed
overhear	@}v@hI@
overlap	@}v@l{p
overlook	@}v@lUk
overnight	@}v@nAet
overpower	@}v@p{O@
overrule	@}v@r\}:l
overseas	@}v@si:z
oversight	@}v@sAet
overslept	@}v@slept
overtake	@}v@t{Ik
overtime	@}v@tAem
overturn	@}v@t3:n
overweight	@}v@w{It
overwhelm	@}v@welm
overwhelmed	@}v@welmd
overwork	@}v@w3:k
ovulate	@vj@l{It
owe	@}
owl	{Ol
own	@}n
oxygen	Oks@dZ@n
oyster	oIst@
p	pi:
p & c	pi:@nsi:
p-plate	pi:pl{It
p.a.	p3:r\{n@m
p.m.	pi:em
p.t.o.	pi:ti:@}
pa	pi:{I
pace	p{Is
pacifist	p{s@f@st
pacify	p{s@fAe
pack	p{k
package	p{kIdZ
packaging	p{k@dZIN
packed	p{kt
packet	p{k@t
pact	p{kt
pad	p{d
paddle	p{d@l
paddock	p{d@k
padlock	p{dlOk
paediatrician	pi:di:@tr\IS@n
page	p{IdZ
paid	p{Id
paid-up	p{Id6p
pain	p{In
painstaking	p{Inzt{IkIN
paint	p{Int
painting	p{IntIN
pair	pe:
pal	p{l
palace	p{l@s
palate	p{l@t
pale	p{Il
palm	p6:m
palpitate	p{lp@t{It
paltry	po:ltr\i:
pamper	p{mp@
pamphlet	p{mfl@t
pan	p{n
pancake	p{Nk{Ik
pancreas	p{Nkr\i:@s
pand	p{nd
pandemonium	p{nd@m@}ni:@m
pander	p{nd@
pane	p{In
panel	p{n@l
panel van	p{n@lv{n
pang	p{N
panic	p{nIk
panned	p{nd
panorama	p{n@r\6:m@
pant	p{nt
pantihose	p{nti:h@}z
pantomime	p{nt@mAem
pantry	p{ntr\i:
pants	p{nts
pap smear	p{psmI@
paper	p{Ip@
paperback	p{Ip@b{k
par	p6:
parachute	p{r\@S}:t
parade	p@r\{Id
paradise	p{r\@dAes
paradox	p{r\@dOks
paragraph	p{r\@gr\{f
parallel	p{r\@lel
paralyse	p{r\@lAez
paramedic	p{r\@medIk
paramount	p{r\@m{Ont
paranoia	p{r\@noI@
paraphernalia	p{r\@f@n{Ilj@
paraphrase	p{r\@fr\{Iz
paraplegic	p{r\@pli:dZIk
parasite	p{r\@sAet
parcel	p6:s@l
pardon	p6:d@n
parent	pe:r\@nt
paris	p{r\@s
parish	p{r\IS
park	p6:k
parka	p6:k@
parliament	p6:l@m@nt
parody	p{r\@di:
parole	p@r\@}l
parquet	p6:k{I
parrot	p{r\@t
parry	p{r\i:
parsley	p6:sli:
part	p6:t
part-time	p6:ttAem
partial	p6:S@l
participate	p@tIs@p{It
participle	p6:t@sIp@l
particle	p6:tIk@l
particular	p@tIkj@l@
partition	p6:tIS@n
partner	p6:tn@
party	p6:ti:
pass	p6:s
passage	p{sIdZ
passenger	p{s@ndZ@
passers	p6:s@z
passion	p{S@n
passionfruit	p{S@nfr\}:t
passive	p{sIv
passport	p6:spo:t
password	p6:sw3:d
past	p6:st
pasta	p{st@
paste	p{Ist
pastel	p{st@l
pasteurise	p6:stS@r\Aez
pastime	p6:stAem
pastry	p{Istr\i:
pasture	p6:stS@
pasty	p{Isti:
pat	p{t
patch	p{tS
patent	p{It@nt
paternal	p@t3:n@l
paternity	p@t3:n@ti:
path	p6:T
pathetic	p@TetIk
pathology	p@TOl@dZi:
patient	p{IS@nt
patio	p{ti:@}
patriarch	p{Itr\i:6:k
patriot	p{Itr\i:@t
patrol	p@tr\@}l
patron	p{Itr\@n
patronise	p{tr\@nAez
patter	p{t@
pattern	p{t@n
paul's	po:lz
pause	po:z
pave	p{Iv
pavement	p{Ivm@nt
pavilion	p@vIlj@n
pavlova	p{vl@}v@
paw	po:
pawn	po:n
pay	p{I
paye	pi:{IwAei:
payroll	p{Ir\@}l
pea	pi:
peace	pi:s
peach	pi:tS
peak	pi:k
peal	pi:l
pearl	p3:l
peasant	pez@nt
peat	pi:t
pebble	peb@l
peck	pek
peckish	pekIS
peculiar	p@kj}:lj@
ped	ped
pedal	ped@l
pedantic	p@d{ntIk
peddle	ped@l
pedestal	ped@st@l
pedestrian	p@destr\i:@n
pee	pi:
peek	pi:k
peel	pi:l
peep	pi:p
peer	pI@
peeve	pi:v
peevish	pi:vIS
peg	peg
pelt	pelt
pelvis	pelv@s
pen	pen
penal	pi:n@l
penalise	pen@lAez
penalty	pen@lti:
pencil	pens@l
pend	pend
pendant	pend@nt
penetrate	pen@tr\{It
penfriend	penfr\end
penguin	peNgw@n
penicillin	pen@sIl@n
peninsula	p@nInS@l@
penis	pi:n@s
penknife	pennAef
penny	peni:
pension	penS@n
pent	pent
pentathlon	pent{TlOn
penthouse	penth{Os
people	pi:p@l
pepper	pep@
peppermint	pep@m@nt
per	p3:
per cent	p@sent
perceive	p@si:v
perception	p@sepS@n
perch	p3:tS
percolate	p3:k@l{It
perfect	p3:fIkt
perform	p@fo:m
perfume	p3:fj}:m
pergola	p@g@}l@
perhaps	p@h{ps
peril	per\@l
period	pI@r\i:@d
periodical	pI@r\i:OdIk@l
peripheral	p@r\If@r\@l
perish	per\IS
perishable	per\IS@b@l
perjure	p3:dZ@
perk	p3:k
permanent	p3:m@n@nt
permission	p@mIS@n
permit	p@mIt
perpetrate	p3:p@tr\{It
perpetual	p@petS}:@l
persecute	p3:s@kj}:t
persevere	p3:s@vI@
persian	p3:Z@n
persist	p@sIst
person	p3:s@n
personal	p3:s@n@l
personality	p3:s@n{l@ti:
personify	p@sOn@fAe
personnel	p3:s@nel
perspire	p3:spAe@
persuade	p@sw{Id
pert	p3:t
pertinent	p3:t@n@nt
perturb	p@t3:b
perverse	p@v3:s
pervert	p3:v3:t
pessimism	pes@mIz@m
pest	pest
pester	pest@
pet	pet
petal	pet@l
pete	pi:t
peter out	pi:t@{Ot
petite	p@ti:t
petition	p@tIS@n
petrify	petr\@fAe
petrol	petr\@l
petroleum	p@tr\@}li:@m
petticoat	peti:k@}t
petty	peti:
petulant	petS@l@nt
pew	pj}:
pewter	pj}:t@
phantom	f{nt@m
pharmacist	f6:m@s@st
phase	f{Iz
phenomenal	f@nOm@n@l
phenomenon	f@nOm@n@n
phew	fj}:
philosophy	f@lOs@fi:
phlegm	flem
phlegmatic	flegm{tIk
phobia	f@}bi:@
phone	f@}n
phonetics	f@netIks
phoney	f@}ni:
photo	f@}t@}
photocopy	f@}t@}kOpi:
photogenic	f@}t@dZi:nIk
photograph	f@}t@gr\{f
phrase	fr\{Iz
physical	fIzIk@l
physician	f@zIS@n
physics	fIzIks
physiology	fIzi:Ol@dZi:
physiotherapist	fIzi:@}Ter\@p@st
physique	f@zi:k
piano	pi:{n@}
pick	pIk
picked	pIkt
picket	pIk@t
pickle	pIk@l
pickpocket	pIkpOk@t
picnic	pIknIk
pictorial	pIkto:r\i:@l
picture	pIktS@
pidgin	pIdZ@n
pie	pAe
piece	pi:s
pier	pI@
pierce	pI@s
pig	pIg
pig-headed	pIghed@d
pigment	pIgm@nt
pigsty	pIgstAe
pile	pAel
pile-up	pAel6p
pilfer	pIlf@
pilgrim	pIlgr\@m
pilipino	pIl@pi:n@}
pill	pIl
pillar	pIl@
pillion	pIlj@n
pillow	pIl@}
pillowcase	pIl@}k{Is
pills	pIlz
pilot	pAel@t
pimple	pImp@l
pin	pIn
pin-up	pIn6p
pinch	pIntS
pine	pAen
ping-pong	pINpON
pink	pINk
pioneer	pAe@nI@
pious	pAe@s
pip	pIp
pipe	pAep
pirate	pAer\@t
pistol	pIst@l
piston	pIst@n
pit	pIt
pitch	pItS
pitch-dark	pItSd6:k
pitfall	pItfo:l
pith	pIT
pitiful	pIt@f@l
pittance	pIt@ns
pity	pIti:
pivot	pIv@t
placate	pl@k{It
place	pl{Is
placid	pl{s@d
plague	pl{Ig
plain	pl{In
plait	pl{t
plan	pl{n
plane	pl{In
planet	pl{n@t
plank	pl{Nk
plant	pl{nt
plaque	pl6:k
plaster	pl6:st@
plastered	pl6:st@d
plastic	pl{stIk
plastic surgery	pl{stIks3:dZ@r\i:
plate	pl{It
plateau	pl{t@}
platform	pl{tfo:m
platter	pl{t@
platypus	pl{t@pUs
plausible	plo:z@b@l
play	pl{I
playground	pl{Igr\{Ond
playwright	pl{Ir\Aet
plea	pli:
plead	pli:d
pleasant	plez@nt
please	pli:z
pleasure	pleZ@
pleat	pli:t
pledge	pledZ
plenty	plenti:
pliable	plAe@b@l
pliers	plAe@z
plight	plAet
plod	plOd
plonk	plONk
plot	plOt
plough	pl{O
ploy	ploI
pluck	pl6k
plucky	pl6ki:
plug	pl6g
plughole	pl6gh@}l
plumber	pl6m@
plummet	pl6m@t
plump	pl6mp
plunge	pl6ndZ
plural	pl}:r\@l
plus	pl6s
plush	pl6S
ply	plAe
plywood	plAewUd
pneumonia	nj}:m@}nj@
po	pi:@}
poach	p@}tS
pocket	pOk@t
pocket money	pOk@tm6ni:
pod	pOd
podgy	pOdZi:
poem	p@}@m
poetry	p@}@tr\i:
point	poInt
point-blank	poIntbl{Nk
pointless	poIntl@s
poise	poIz
poison	poIz@n
poke	p@}k
poker	p@}k@
poky	p@}ki:
pole	p@}l
police	p@li:s
policy	pOl@si:
polio	p@}li:@}
polish	pOlIS
polite	p@lAet
politician	pOl@tIS@n
politics	pOl@tIks
poll	pOl
pollen	pOl@n
pollute	p@l}:t
polo	p@}l@}
pommy	pOmi:
pompous	pOmp@s
pond	pOnd
ponder	pOnd@
pong	pON
pony	p@}ni:
ponytail	p@}ni:t{Il
poo	p}:
poodle	p}:d@l
pooh	p}:
pool	p}:l
poor	po:
pop	pOp
pope	p@}p
popular	pOpj@l@
populate	pOpj@l{It
porch	po:tS
porcupine	po:kj@pAen
pore	po:
pork	po:k
pornography	po:nOgr\@fi:
porous	po:r\@s
porridge	pOr\IdZ
port	po:t
portable	po:t@b@l
porter	po:t@
portfolio	po:tf@}li:@}
portion	po:S@n
portrait	po:tr\@t
portray	po:tr\{I
portuguese	po:tS@gi:z
pose	p@}z
posh	pOS
position	p@zIS@n
positive	pOz@tIv
possess	p@zes
possession	p@zeS@n
possessive	p@zesIv
possible	pOs@b@l
possum	pOs@m
post	p@}st
post office	p@}stOf@s
post-mortem	p@}stmo:t@m
post-office box	p@}stOf@sbOks
postal label	p@}st@ll{Ib@l
postbox	p@}stbOks
postcard	p@}stk6:d
postcode	p@}stk@}d
poster	p@}st@
posterior	pOstI@r\i:@
posterity	pOster\@ti:
postgraduate	p@}stgr\{dZ}:@t
postman	p@}stm@n
postpone	p@}stp@}n
postscript	p@}stskr\Ipt
posture	pOstS@
posy	p@}zi:
pot	pOt
potato	p@t{It@}
potent	p@}t@nt
potential	p@tenS@l
pothole	pOth@}l
potter	pOt@
potty	pOti:
pouch	p{OtS
poultry	p@}ltr\i:
pounce	p{Ons
pound	p{Ond
pour	po:
pout	p{Ot
poverty	pOv@ti:
powder	p{Od@
power	p{O@
practical	pr\{ktIk@l
practically	pr\{ktIkli:
practice	pr\{kt@s
practise	pr\{kt@s
praise	pr\{Iz
pram	pr\{m
prance	pr\{ns
prank	pr\{Nk
prattle	pr\{t@l
prawn	pr\o:n
pray	pr\{I
preach	pr\i:tS
precarious	pr\@ke:r\i:@s
precaution	pr\@ko:S@n
precede	pr\@si:d
precedent	pr\i:s@d@nt
precious	pr\eS@s
precipice	pr\es@p@s
precis	pr\{Isi:
precise	pr\@sAes
precocious	pr\@k@}S@s
predecessor	pr\i:d@ses@
predicament	pr\@dIk@m@nt
predict	pr\@dIkt
predictable	pr\@dIkt@b@l
predominant	pr\@dOm@n@nt
preen	pr\i:n
preface	pr\ef@s
prefect	pr\i:fekt
prefer	pr\@f3:
prefix	pr\i:fIks
pregnant	pr\egn@nt
prejudice	pr\edZ@d@s
preliminary	pr\@lIm@nr\i:
prelude	pr\elj}:d
premature	pr\em@tSU@
premier	pr\emi:@
premiere	pr\emi:e:
premise	pr\em@s
premium	pr\i:mi:@m
premonition	pr\em@nIS@n
preoccupied	pr\i:Okj@pAed
prepare	pr\@pe:
preposition	pr\ep@zIS@n
preposterous	pr\@pOstr\@s
prescribe	pr\@skr\Aeb
prescription	pr\@skr\IpS@n
present	pr\ez@nt
presentable	pr\@zent@b@l
presently	pr\ez@ntli:
preserve	pr\@z3:v
president	pr\ez@d@nt
press	pr\es
press-up	pr\es6p
pressure	pr\eS@
prestige	pr\esti:Z
presume	pr\@zj}:m
pretend	pr\@tend
pretty	pr\Iti:
prevalent	pr\ev@l@nt
prevaricate	pr\@v{r\@k{It
prevent	pr\@vent
preview	pr\i:vj}:
previous	pr\i:vi:@s
prey	pr\{I
price	pr\Aes
priceless	pr\Aesl@s
pricey	pr\Aesi:
prick	pr\Ik
pride	pr\Aed
priest	pr\i:st
prig	pr\Ig
prim	pr\Im
primary	pr\Aemr\i:
primary school	pr\Aemr\i:sk}:l
prime	pr\Aem
prime minister	pr\AemmIn@st@
prime number	pr\Aemn6mb@
primitive	pr\Im@tIv
prince	pr\Ins
princess	pr\Inses
principal	pr\Ins@p@l
principle	pr\Ins@p@l
print	pr\Int
printer	pr\Int@
prior	pr\Ae@
priority	pr\AeOr\@ti:
prise	pr\Aez
prism	pr\Iz@m
prison	pr\Iz@n
private	pr\Aev@t
privilege	pr\Iv@lIdZ
prize	pr\Aez
pro rata	pr\@}r\6:t@
probable	pr\Ob@b@l
probe	pr\@}b
problem	pr\Obl@m
procedure	pr\@si:dZ@
proceed	pr\@si:d
process	pr\@}ses
prod	pr\Od
prodigy	pr\Od@dZi:
produce	pr\@dj}:s
product	pr\Od6kt
productive	pr\@d6ktIv
profession	pr\@feS@n
professor	pr\@fes@
proficient	pr\@fIS@nt
profile	pr\@}fAel
profit	pr\Of@t
profound	pr\@f{Ond
program	pr\@}gr\{m
programme	pr\@}gr\{m
progress	pr\@}gr\es
progressive	pr\@gr\esIv
prohibit	pr\@hIb@t
project	pr\@}dZekt
prologue	pr\@}lOg
prolong	pr\@lON
promenade	pr\Om@n{Id
prominent	pr\Om@n@nt
promise	pr\Om@s
promote	pr\@m@}t
prompt	pr\Ompt
prone	pr\@}n
prong	pr\ON
pronoun	pr\@}n{On
pronounce	pr\@n{Ons
pronounced	pr\@n{Onst
proof	pr\}:f
proof-read	pr\}:fr\i:d
prop	pr\Op
propaganda	pr\Op@g{nd@
propel	pr\@pel
proper	pr\Op@
property	pr\Op@ti:
proportion	pr\@po:S@n
proposals	pr\@p@}z@lz
propose	pr\@p@}z
proprietary limited company	pr\@pr\Ae@tr\i:lIm@t@dk6mp@ni:
proprietor	pr\@pr\Ae@t@
prose	pr\@}z
prosecute	pr\Os@kj}:t
prospect	pr\Ospekt
prospectus	pr\@spekt@s
prosper	pr\Osp@
prostitute	pr\Ost@tj}:t
protect	pr\@tekt
protective	pr\@tektIv
protein	pr\@}ti:n
protest	pr\@test
protestant	pr\Ot@st@nt
protocol	pr\@}t@kOl
prototype	pr\@}t@}tAep
protracted	pr\@tr\{kt@d
proud	pr\{Od
prove	pr\}:v
provide	pr\@vAed
provision	pr\@vIZ@n
provisional	pr\@vIZ@n@l
provoke	pr\@v@}k
prowl	pr\{Ol
proxy	pr\Oksi:
prudent	pr\}:d@nt
prune	pr\}:n
pry	pr\Ae
ps	pi:es
pseudonym	sj}:d@nIm
psych	sAek
psyche	sAeki:
psychiatrist	s@kAe@tr\@st
psychic	sAekIk
psycho	sAek@}
psychoanalyst	sAek@}{n@l@st
psychology	sAekOl@dZi:
pub	p6b
puberty	pj}:b@ti:
pubic	pj}:bIk
public	p6blIk
public relations	p6blIkr\@l{IS@nz
public school	p6blIksk}:l
public servant	p6blIks3:v@nt
public service	p6blIks3:v@s
publican	p6blIk@n
publication	p6bl@k{IS@n
publicity	p6blIs@ti:
publish	p6blIS
pucker	p6k@
pudding	pUdIN
puddle	p6d@l
puff	p6f
puffin	p6f@n
pugnacious	p6gn{IS@s
pull	pUl
pullover	pUl@}v@
pulp	p6lp
pulse	p6ls
pump	p6mp
pumpkin	p6mpk@n
pun	p6n
punch	p6ntS
punctual	p6NktS}:@l
punctuation	p6NktS}:{IS@n
puncture	p6NktS@
punish	p6nIS
punt	p6nt
puny	pj}:ni:
pup	p6p
pupil	pj}:p@l
puppet	p6p@t
purchase	p3:tS@s
pure	pj}:@
puree	pj}:r\{I
purge	p3:dZ
purple	p3:p@l
purpose	p3:p@s
purr	p3:
purse	p3:s
pursue	p@sj}:
pus	p6s
push	pUS
push-up	pUS6p
pushed	pUSt
pusher	pUS@
pushover	pUS@}v@
put	pUt
putty	p6ti:
puzzle	p6z@l
pyjamas	p@dZ6:m@z
pylon	pAelOn
pyramid	pIr\@mId
python	pAeT@n
q	kj}:
qc	kj}:si:
qld	kwi:nzl@nd
quack	kw{k
quadrangle	kwOdr\{Ng@l
quadriplegic	kwOdr\@pli:dZIk
quadruped	kwOdr\@ped
quadruple	kwOdr\}:p@l
quadruplet	kwOdr\}:pl@t
quaint	kw{Int
quake	kw{Ik
qualify	kwOl@fAe
quality	kwOl@ti:
quantity	kwOnt@ti:
quarantine	kwOr\@nti:n
quarrel	kwOr\@l
quarry	kwOr\i:
quarter	kwo:t@
quartet	kwo:tet
quay	ki:
queen	kwi:n
queer	kwI@
query	kwI@r\i:
quest	kwest
question	kwestS@n
questionnaire	kwestS@ne:
queue	kj}:
quibble	kwIb@l
quiche	ki:S
quick	kwIk
quickly	kwIkli:
quicksand	kwIks{nd
quiet	kwAe@t
quilt	kwIlt
quinine	kwIni:n
quip	kwIp
quit	kwIt
quite	kwAet
quiz	kwIz
quorum	kwo:r\@m
quota	kw@}t@
quotation	kw@}t{IS@n
quotation marks	kw@}t{IS@nm6:ks
quote	kw@}t
r	6:
rabbi	r\{bAe
rabble	r\{b@l
race	r\{Is
racecourse	r\{Isko:s
racist	r\{Is@st
rack	r\{k
racket	r\{k@t
racquet	r\{k@t
radar	r\{Id6:
radiation	r\{Idi:{IS@n
radiator	r\{Idi:{It@
radical	r\{dIk@l
radio	r\{Idi:@}
radioactive	r\{Idi:@}{ktIv
radiography	r\{Idi:Ogr\@fi:
radiologist	r\{Idi:Ol@dZ@st
radiotherapy	r\{Idi:@}Ter\@pi:
radish	r\{dIS
radius	r\{Idi:@s
raffle	r\{f@l
rafter	r\6:ft@
rag	r\{g
rage	r\{IdZ
ragged	r\{g@d
raid	r\{Id
rail	r\{Il
railing	r\{IlIN
railway	r\{Ilw{I
rain	r\{In
rainbow	r\{Inb@}
rainforest	r\{InfOr\@st
raise	r\{Iz
raisin	r\{Iz@n
rake	r\{Ik
rally	r\{li:
ram	r\{m
ramble	r\{mb@l
ramp	r\{mp
ramshackle	r\{mS{k@l
ran	r\{n
random	r\{nd@m
rang	r\{N
range	r\{IndZ
ranger	r\{IndZ@
rank	r\{Nk
ransack	r\{ns{k
ransom	r\{ns@m
rape	r\{Ip
rapid	r\{p@d
rare	r\e:
rash	r\{S
rasher	r\{S@
rat	r\{t
rate	r\{It
rather	r\6:D@
ratio	r\{ISi:@}
ration	r\{S@n
ratshit	r\{tSIt
rattle	r\{t@l
rave	r\{Iv
ravenous	r\{v@n@s
ravine	r\@vi:n
ravishing	r\{v@SIN
raw	r\o:
ray	r\{I
razor	r\{Iz@
re	r\i:
re-count	r\i:k{Ont
reach	r\i:tS
react	r\i:{kt
read	r\i:d
ready	r\edi:
real	r\i:l
real estate	r\i:l@st{It
realise	r\i:@lAez
realist	r\i:@l@st
reality	r\i:{l@ti:
really	r\I@li:
realty	r\i:@lti:
rear	r\I@
reason	r\i:z@n
reasonable	r\i:z@n@b@l
rebate	r\i:b{It
rebel	r\eb@l
recall	r\@ko:l
recede	r\@si:d
receipt	r\@si:t
receive	r\@si:v
receiver	r\@si:v@
recent	r\i:s@nt
receptacle	r\@sept@k@l
reception	r\@sepS@n
receptionist	r\@sepS@n@st
recess	r\@ses
recession	r\@seS@n
recipe	r\es@pi:
recipient	r\@sIpi:@nt
recital	r\@sAet@l
recite	r\@sAet
reckless	r\ekl@s
reckon	r\ek@n
recognise	r\ek@gnAez
recoil	r\@koIl
recollect	r\ek@lekt
recommend	r\ek@mend
reconcile	r\ek@nsAel
record	r\@ko:d
record-player	r\eko:dpl{I@
recorder	r\@ko:d@
recount	r\@k{Ont
recover	r\@k6v@
recreation	r\ekr\i:{IS@n
recruit	r\@kr\}:t
rectangle	r\ekt{Ng@l
rectum	r\ekt@m
recuperate	r\@k}:p@r\{It
recur	r\@k3:
recycle	r\i:sAek@l
red	r\ed
red tape	r\edt{Ip
red-back	r\edb{k
redeem	r\@di:m
reduce	r\@dj}:s
redundant	r\@d6nd@nt
reef	r\i:f
reel	r\i:l
refer	r\@f3:
referee	r\ef@r\i:
reference	r\efr\@ns
referendum	r\ef@r\end@m
reflect	r\@flekt
reflex	r\i:fleks
reflexive pronoun	r\@fleksIvpr\@}n{On
reform	r\@fo:m
refrain	r\@fr\{In
refresh	r\@fr\eS
refreshments	r\@fr\eSm@nts
refrigerator	r\@fr\IdZ@r\{It@
refuge	r\efj}:dZ
refugee	r\efj}:dZi:
refund	r\i:f6nd
refuse	r\@fj}:z
regain	r\@g{In
regard	r\@g6:d
regardless	r\@g6:dl@s
regime	r\{IZi:m
region	r\i:dZ@n
register	r\edZ@st@
registry	r\edZ@str\i:
registry office	r\edZ@str\i:Of@s
rego	r\edZ@}
regret	r\@gr\et
regular	r\egj@l@
regulate	r\egj@l{It
regulation	r\egj@l{IS@n
rehabilitate	r\i:h@bIl@t{It
rehearse	r\@h3:s
reign	r\{In
reimburse	r\i:Imb3:s
rein	r\{In
reincarnation	r\i:Ink6:n{IS@n
reinforce	r\i:Info:s
reinforcements	r\i:Info:sm@nts
reinstate	r\i:Inst{It
reject	r\@dZekt
rejoice	r\@dZoIs
relapse	r\@l{ps
relate	r\@l{It
relation	r\@l{IS@n
relationship	r\@l{IS@nSIp
relative	r\el@tIv
relative pronoun	r\el@tIvpr\@}n{On
relatively	r\el@tIvli:
relax	r\@l{ks
relaxing	r\@l{ksIN
relay	r\i:l{I
release	r\@li:s
relent	r\@lent
relentless	r\@lentl@s
relevant	r\el@v@nt
reliable	r\@lAe@b@l
reliant	r\@lAe@nt
relic	r\elIk
relief	r\@li:f
relieve	r\@li:v
religion	r\@lIdZ@n
relish	r\elIS
reluctant	r\@l6kt@nt
rely	r\@lAe
remain	r\@m{In
remainder	r\@m{Ind@
remark	r\@m6:k
remarkable	r\@m6:k@b@l
remarry	r\i:m{r\i:
remedy	r\em@di:
remember	r\@memb@
remind	r\@mAend
remittance	r\@mIt@ns
remnant	r\emn@nt
remote	r\@m@}t
removalist	r\@m}:v@l@st
remove	r\@m}:v
renal	r\i:n@l
renew	r\@nj}:
renounce	r\@n{Ons
renovate	r\en@v{It
rent	r\ent
rental	r\ent@l
repair	r\@pe:
repay	r\i:p{I
repayment	r\@p{Im@nt
repeat	r\@pi:t
repeated	r\@pi:t@d
repel	r\@pel
repellent	r\@pel@nt
repent	r\@pent
replace	r\@pl{Is
replay	r\i:pl{I
replica	r\eplIk@
reply	r\@plAe
report	r\@po:t
reporter	r\@po:t@
repossess	r\i:p@zes
represent	r\epr\@zent
representative	r\epr\@zent@tIv
reprieve	r\@pr\i:v
reprimand	r\epr\@m{nd
reprint	r\i:pr\Int
reproach	r\@pr\@}tS
reproduce	r\i:pr\@dj}:s
reptile	r\eptAel
republic	r\@p6blIk
repugnant	r\@p6gn@nt
repulsive	r\@p6lsIv
reputable	r\epj@t@b@l
reputation	r\epj@t{IS@n
reputed	r\@pj}:t@d
request	r\@kwest
require	r\@kwAe@
rescue	r\eskj}:
research	r\@s3:tS
resemble	r\@zemb@l
resent	r\@zent
reservation	r\ez@v{IS@n
reserve	r\@z3:v
reserve price	r\@z3:vpr\Aes
reserved	r\@z3:vd
reservoir	r\ez@vw6:
residence	r\ez@d@ns
resident	r\ez@d@nt
residential	r\ez@denS@l
residue	r\ez@dj}:
resign	r\@zAen
resist	r\@zIst
resistance	r\@zIst@ns
resistant	r\@zIst@nt
resolute	r\ez@l}:t
resolution	r\ez@l}:S@n
resolve	r\@zOlv
resort	r\@zo:t
resource	r\@zo:s
resourceful	r\@zo:sfUl
respect	r\@spekt
respectable	r\@spekt@b@l
respectively	r\@spektIvli:
respiration	r\esp@r\{IS@n
respond	r\@spOnd
responsible	r\@spOns@b@l
rest	r\est
restaurant	r\est@r\Ont
restless	r\estl@s
restore	r\@sto:
restrain	r\@str\{In
restrained	r\@str\{Ind
restrict	r\@str\Ikt
result	r\@z6lt
resume	r\@zj}:m
resurrect	r\ez@r\ekt
resuscitate	r\@s6s@t{It
retail	r\i:t{Il
retain	r\@t{In
retaliate	r\@t{li:{It
retire	r\@tAe@
retrace	r\i:tr\{Is
retreat	r\@tr\i:t
retrench	r\@tr\entS
retrieve	r\@tr\i:v
retrospective	r\etr\@spektIv
return	r\@t3:n
reunion	r\i:j}:nj@n
reveal	r\@vi:l
revel	r\ev@l
revenge	r\@vendZ
revenue	r\ev@nj}:
reverend	r\evr\@nd
reverent	r\evr\@nt
reverse	r\@v3:s
revert	r\@v3:t
review	r\@vj}:
revise	r\@vAez
revive	r\@vAev
revolt	r\@v@}lt
revolution	r\ev@l}:S@n
revolutionary	r\ev@l}:S@nr\i:
revolve	r\@vOlv
revolver	r\@vOlv@
reward	r\@wo:d
rewarding	r\@wo:dIN
rheumatism	r\}:m@tIz@m
rhyme	r\Aem
rhythm	r\ID@m
rib	r\Ib
ribbon	r\Ib@n
rice	r\Aes
rich	r\ItS
rid	r\Id
riddle	r\Id@l
ride	r\Aed
ridge	r\IdZ
ridicule	r\Id@kj}:l
ridiculous	r\@dIkj@l@s
rifle	r\Aef@l
rift	r\Ift
rig	r\Ig
right	r\Aet
rightful	r\Aetf@l
rigid	r\IdZ@d
rim	r\Im
rind	r\Aend
ring	r\IN
ring-in	r\INIn
ringworm	r\INw3:m
rinse	r\Ins
riot	r\Ae@t
rip	r\Ip
ripcord	r\Ipko:d
ripe	r\Aep
ripple	r\Ip@l
rise	r\Aez
risk	r\Isk
risks	r\Isks
risky	r\Iski:
rival	r\Aev@l
river	r\Iv@
road	r\@}d
roadway	r\@}dw{I
roadworks	r\@}dw3:ks
roam	r\@}m
roar	r\o:
roaring	r\o:r\IN
roast	r\@}st
rob	r\Ob
robbery	r\Ob@r\i:
robe	r\@}b
robot	r\@}bOt
robust	r\@}b6st
rock	r\Ok
rockery	r\Ok@r\i:
rocket	r\Ok@t
rod	r\Od
rode	r\@}d
rogue	r\@}g
